(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(167006, -97, 5);[5, 400, 300, 80, 5];790;התשפה;44157;(3, 16, 18, 6, 44157);יהוה;4;(3, 16, 18, 22, 167006);ויצא אל המזבח אשר לפני יהוה וכפר עליו ולקח מדם הפר ומדם השעיר ונתן על קרנות המזבח סביב
(17875, -96, 5);[5, 400, 300, 80, 5];790;התשפה;4792;(1, 15, 12, 8, 4792);והנה;4;(1, 15, 12, 32, 17875);ויהי השמש לבוא ותרדמה נפלה על אברם והנה אימה חשכה גדלה נפלת עליו
(232851, -79, 5);[5, 400, 300, 80, 5];790;התשפה;61366;(4, 26, 41, 6, 61366);חמשה;4;(4, 26, 41, 29, 232851);אלה בני בנימן למשפחתם ופקדיהם חמשה וארבעים אלף ושש מאות
(277744, -69, 5);[5, 400, 300, 80, 5];790;התשפה;72847;(5, 16, 21, 12, 72847);תעשה;4;(5, 16, 21, 38, 277744);לא תטע לך אשרה כל עץ אצל מזבח יהוה אלהיך אשר תעשה לך
(138270, -67, 5);[5, 400, 300, 80, 5];790;התשפה;36429;(2, 39, 8, 8, 36429);זהב;2;(2, 39, 8, 27, 138270);ויעש את החשן מעשה חשב כמעשה אפד זהב תכלת וארגמן ותולעת שני ושש משזר
(192220, -67, 5);[5, 400, 300, 80, 5];790;התשפה;50689;(4, 3, 42, 5, 50689);יהוה;2;(4, 3, 42, 17, 192220);ויפקד משה כאשר צוה יהוה אתו את כל בכור בבני ישראל
(49018, -63, 5);[5, 400, 300, 80, 5];790;התשפה;13058;(1, 33, 17, 3, 13058);סכתה;4;(1, 33, 17, 12, 49018);ויעקב נסע סכתה ויבן לו בית ולמקנהו עשה סכת על כן קרא שם המקום סכות
(164301, -60, 5);[5, 400, 300, 80, 5];790;התשפה;43421;(3, 15, 1, 4, 43421);משה;3;(3, 15, 1, 14, 164301);וידבר יהוה אל משה ואל אהרן לאמר
(135906, -59, 5);[5, 400, 300, 80, 5];790;התשפה;35833;(2, 37, 24, 5, 35833);אתה;3;(2, 37, 24, 16, 135906);ככר זהב טהור עשה אתה ואת כל כליה
(77951, -54, 5);[5, 400, 300, 80, 5];790;התשפה;20585;(1, 50, 24, 20, 20585);לאברהם;5;(1, 50, 24, 75, 77951);ויאמר יוסף אל אחיו אנכי מת ואלהים פקד יפקד אתכם והעלה אתכם מן הארץ הזאת אל הארץ אשר נשבע לאברהם ליצחק וליעקב
(106913, -53, 5);[5, 400, 300, 80, 5];790;התשפה;28234;(2, 19, 24, 7, 28234);אתה;3;(2, 19, 24, 25, 106913);ויאמר אליו יהוה לך רד ועלית אתה ואהרן עמך והכהנים והעם אל יהרסו לעלת אל יהוה פן יפרץ בם
(72301, -48, 5);[5, 400, 300, 80, 5];790;התשפה;19115;(1, 47, 7, 8, 19115);פרעה;4;(1, 47, 7, 33, 72301);ויבא יוסף את יעקב אביו ויעמדהו לפני פרעה ויברך יעקב את פרעה
(110767, -29, 5);[5, 400, 300, 80, 5];790;התשפה;29322;(2, 22, 26, 3, 29322);כסותה;5;(2, 22, 26, 10, 110767);כי הוא כסותה לבדה הוא שמלתו לערו במה ישכב והיה כי יצעק אלי ושמעתי כי חנון אני
(117831, -25, 5);[5, 400, 300, 80, 5];790;התשפה;31103;(2, 27, 14, 2, 31103);עשרה;4;(2, 27, 14, 8, 117831);וחמש עשרה אמה קלעים לכתף עמדיהם שלשה ואדניהם שלשה
(190984, -21, 5);[5, 400, 300, 80, 5];790;התשפה;50394;(4, 3, 16, 6, 50394);יהוה;2;(4, 3, 16, 17, 190984);ויפקד אתם משה על פי יהוה כאשר צוה
(91310, -1, 5);[5, 400, 300, 80, 5];790;התשפה;24066;(2, 9, 31, 1, 24066);והפשתה;6;(2, 9, 31, 6, 91310);והפשתה והשערה נכתה כי השערה אביב והפשתה גבעל
(91337, -1, 5);[5, 400, 300, 80, 5];790;התשפה;24072;(2, 9, 31, 7, 24072);והפשתה;6;(2, 9, 31, 33, 91337);והפשתה והשערה נכתה כי השערה אביב והפשתה גבעל
(158500, -1, 5);[5, 400, 300, 80, 5];790;התשפה;41835;(3, 13, 8, 4, 41835);פשתה;4;(3, 13, 8, 16, 158500);וראה הכהן והנה פשתה המספחת בעור וטמאו הכהן צרעת הוא
(112449, -100, 4);[400, 300, 80, 5];785;תשפה;29769;(2, 23, 33, 10, 29769);את;2;(2, 23, 33, 32, 112449);לא ישבו בארצך פן יחטיאו אתך לי כי תעבד את אלהיהם כי יהיה לך למוקש
(131710, -100, 4);[400, 300, 80, 5];785;תשפה;34781;(2, 35, 18, 2, 34781);יתדת;4;(2, 35, 18, 6, 131710);את יתדת המשכן ואת יתדת החצר ואת מיתריהם
(192712, -99, 4);[400, 300, 80, 5];785;תשפה;50815;(4, 4, 2, 6, 50815);מתוך;2;(4, 4, 2, 16, 192712);נשא את ראש בני קהת מתוך בני לוי למשפחתם לבית אבתם
(275067, -99, 4);[400, 300, 80, 5];785;תשפה;72140;(5, 14, 28, 8, 72140);תבואתך;1;(5, 14, 28, 25, 275067);מקצה שלש שנים תוציא את כל מעשר תבואתך בשנה ההוא והנחת בשעריך
(55477, -97, 4);[400, 300, 80, 5];785;תשפה;14756;(1, 37, 26, 12, 14756);את;2;(1, 37, 26, 42, 55477);ויאמר יהודה אל אחיו מה בצע כי נהרג את אחינו וכסינו את דמו
(61684, -97, 4);[400, 300, 80, 5];785;תשפה;16370;(1, 41, 33, 1, 16370);ועתה;3;(1, 41, 33, 3, 61684);ועתה ירא פרעה איש נבון וחכם וישיתהו על ארץ מצרים
(119117, -97, 4);[400, 300, 80, 5];785;תשפה;31425;(2, 28, 17, 1, 31425);ומלאת;5;(2, 28, 17, 5, 119117);ומלאת בו מלאת אבן ארבעה טורים אבן טור אדם פטדה וברקת הטור האחד
(166909, -97, 4);[400, 300, 80, 5];785;תשפה;44131;(3, 16, 16, 16, 44131);בתוך;2;(3, 16, 16, 63, 166909);וכפר על הקדש מטמאת בני ישראל ומפשעיהם לכל חטאתם וכן יעשה לאהל מועד השכן אתם בתוך טמאתם
(17779, -96, 4);[400, 300, 80, 5];785;תשפה;4767;(1, 15, 10, 7, 4767);אתם;2;(1, 15, 10, 20, 17779);ויקח לו את כל אלה ויבתר אתם בתוך ויתן איש בתרו לקראת רעהו ואת הצפר לא בתר
(137854, -96, 4);[400, 300, 80, 5];785;תשפה;36321;(2, 39, 1, 4, 36321);ותולעת;2;(2, 39, 1, 17, 137854);ומן התכלת והארגמן ותולעת השני עשו בגדי שרד לשרת בקדש ויעשו את בגדי הקדש אשר לאהרן כאשר צוה יהוה את משה
(229824, -96, 4);[400, 300, 80, 5];785;תשפה;60643;(4, 24, 17, 3, 60643);עתה;2;(4, 24, 17, 10, 229824);אראנו ולא עתה אשורנו ולא קרוב דרך כוכב מיעקב וקם שבט מישראל ומחץ פאתי מואב וקרקר כל בני שת
(49017, -94, 4);[400, 300, 80, 5];785;תשפה;13058;(1, 33, 17, 3, 13058);סכתה;3;(1, 33, 17, 11, 49017);ויעקב נסע סכתה ויבן לו בית ולמקנהו עשה סכת על כן קרא שם המקום סכות
(95724, -94, 4);[400, 300, 80, 5];785;תשפה;25255;(2, 12, 29, 19, 25255);בבית;4;(2, 12, 29, 71, 95724);ויהי בחצי הלילה ויהוה הכה כל בכור בארץ מצרים מבכר פרעה הישב על כסאו עד בכור השבי אשר בבית הבור וכל בכור בהמה
(162126, -94, 4);[400, 300, 80, 5];785;תשפה;42832;(3, 14, 15, 9, 42832);השמאלית;7;(3, 14, 15, 34, 162126);ולקח הכהן מלג השמן ויצק על כף הכהן השמאלית
(303116, -94, 4);[400, 300, 80, 5];785;תשפה;79542;(5, 33, 7, 16, 79542);תהיה;1;(5, 33, 7, 60, 303116);וזאת ליהודה ויאמר שמע יהוה קול יהודה ואל עמו תביאנו ידיו רב לו ועזר מצריו תהיה
(54659, -93, 4);[400, 300, 80, 5];785;תשפה;14552;(1, 37, 10, 21, 14552);להשתחות;4;(1, 37, 10, 77, 54659);ויספר אל אביו ואל אחיו ויגער בו אביו ויאמר לו מה החלום הזה אשר חלמת הבוא נבוא אני ואמך ואחיך להשתחות לך ארצה
(196338, -92, 4);[400, 300, 80, 5];785;תשפה;51769;(4, 5, 20, 11, 51769);את;2;(4, 5, 20, 35, 196338);ואת כי שטית תחת אישך וכי נטמאת ויתן איש בך את שכבתו מבלעדי אישך
(92980, -91, 4);[400, 300, 80, 5];785;תשפה;24527;(2, 10, 23, 9, 24527);מתחתיו;2;(2, 10, 23, 25, 92980);לא ראו איש את אחיו ולא קמו איש מתחתיו שלשת ימים ולכל בני ישראל היה אור במושבתם
(139544, -91, 4);[400, 300, 80, 5];785;תשפה;36761;(2, 39, 34, 10, 36761);ואת;3;(2, 39, 34, 42, 139544);ואת מכסה עורת האילם המאדמים ואת מכסה ערת התחשים ואת פרכת המסך
(209565, -89, 4);[400, 300, 80, 5];785;תשפה;55231;(4, 13, 3, 2, 55231);אתם;2;(4, 13, 3, 7, 209565);וישלח אתם משה ממדבר פארן על פי יהוה כלם אנשים ראשי בני ישראל המה
(109024, -86, 4);[400, 300, 80, 5];785;תשפה;28812;(2, 21, 23, 4, 28812);ונתתה;4;(2, 21, 23, 15, 109024);ואם אסון יהיה ונתתה נפש תחת נפש
(150194, -86, 4);[400, 300, 80, 5];785;תשפה;39623;(3, 7, 26, 4, 39623);תאכלו;1;(3, 7, 26, 8, 150194);וכל דם לא תאכלו בכל מושבתיכם לעוף ולבהמה
(197198, -86, 4);[400, 300, 80, 5];785;תשפה;51996;(4, 6, 5, 11, 51996);מלאת;4;(4, 6, 5, 33, 197198);כל ימי נדר נזרו תער לא יעבר על ראשו עד מלאת הימם אשר יזיר ליהוה קדש יהיה גדל פרע שער ראשו
(53249, -84, 4);[400, 300, 80, 5];785;תשפה;14193;(1, 36, 22, 8, 14193);תמנע;1;(1, 36, 22, 30, 53249);ויהיו בני לוטן חרי והימם ואחות לוטן תמנע
(61489, -83, 4);[400, 300, 80, 5];785;תשפה;16318;(1, 41, 28, 11, 16318);את;2;(1, 41, 28, 39, 61489);הוא הדבר אשר דברתי אל פרעה אשר האלהים עשה הראה את פרעה
(94679, -83, 4);[400, 300, 80, 5];785;תשפה;24986;(2, 12, 13, 20, 24986);בהכתי;4;(2, 12, 13, 72, 94679);והיה הדם לכם לאת על הבתים אשר אתם שם וראיתי את הדם ופסחתי עלכם ולא יהיה בכם נגף למשחית בהכתי בארץ מצרים
(123285, -83, 4);[400, 300, 80, 5];785;תשפה;32516;(2, 30, 6, 2, 32516);אתו;2;(2, 30, 6, 7, 123285);ונתתה אתו לפני הפרכת אשר על ארן העדת לפני הכפרת אשר על העדת אשר אועד לך שמה
(163705, -83, 4);[400, 300, 80, 5];785;תשפה;43260;(3, 14, 44, 8, 43260);צרעת;4;(3, 14, 44, 30, 163705);ובא הכהן וראה והנה פשה הנגע בבית צרעת ממארת הוא בבית טמא הוא
(203282, -83, 4);[400, 300, 80, 5];785;תשפה;53596;(4, 8, 19, 2, 53596);את;2;(4, 8, 19, 7, 203282);ואתנה את הלוים נתנים לאהרן ולבניו מתוך בני ישראל לעבד את עבדת בני ישראל באהל מועד ולכפר על בני ישראל ולא יהיה בבני ישראל נגף בגשת בני ישראל אל הקדש
(59393, -82, 4);[400, 300, 80, 5];785;תשפה;15779;(1, 40, 11, 12, 15779);ואתן;3;(1, 40, 11, 44, 59393);וכוס פרעה בידי ואקח את הענבים ואשחט אתם אל כוס פרעה ואתן את הכוס על כף פרעה
(162092, -82, 4);[400, 300, 80, 5];785;תשפה;42823;(3, 14, 14, 19, 42823);הימנית;6;(3, 14, 14, 74, 162092);ולקח הכהן מדם האשם ונתן הכהן על תנוך אזן המטהר הימנית ועל בהן ידו הימנית ועל בהן רגלו הימנית
(166220, -82, 4);[400, 300, 80, 5];785;תשפה;43951;(3, 16, 5, 2, 43951);עדת;3;(3, 16, 5, 7, 166220);ומאת עדת בני ישראל יקח שני שעירי עזים לחטאת ואיל אחד לעלה
(301096, -81, 4);[400, 300, 80, 5];785;תשפה;79005;(5, 32, 14, 18, 79005);תשתה;3;(5, 32, 14, 64, 301096);חמאת בקר וחלב צאן עם חלב כרים ואילים בני בשן ועתודים עם חלב כליות חטה ודם ענב תשתה חמר
(15146, -80, 4);[400, 300, 80, 5];785;תשפה;4056;(1, 12, 20, 8, 4056);אשתו;3;(1, 12, 20, 32, 15146);ויצו עליו פרעה אנשים וישלחו אתו ואת אשתו ואת כל אשר לו
(138606, -80, 4);[400, 300, 80, 5];785;תשפה;36514;(2, 39, 16, 11, 36514);הטבעת;5;(2, 39, 16, 42, 138606);ויעשו שתי משבצת זהב ושתי טבעת זהב ויתנו את שתי הטבעת על שני קצות החשן
(293039, -80, 4);[400, 300, 80, 5];785;תשפה;76928;(5, 28, 30, 6, 76928);בית;3;(5, 28, 30, 23, 293039);אשה תארש ואיש אחר ישגלנה בית תבנה ולא תשב בו כרם תטע ולא תחללנו
(232772, -79, 4);[400, 300, 80, 5];785;תשפה;61349;(4, 26, 39, 5, 61349);משפחת;5;(4, 26, 39, 27, 232772);לשפופם משפחת השופמי לחופם משפחת החופמי
(257551, -78, 4);[400, 300, 80, 5];785;תשפה;67660;(5, 4, 19, 26, 67660);תחת;1;(5, 4, 19, 104, 257551);ופן תשא עיניך השמימה וראית את השמש ואת הירח ואת הכוכבים כל צבא השמים ונדחת והשתחוית להם ועבדתם אשר חלק יהוה אלהיך אתם לכל העמים תחת כל השמים
(214542, -77, 4);[400, 300, 80, 5];785;תשפה;56553;(4, 15, 27, 8, 56553);בת;2;(4, 15, 27, 29, 214542);ואם נפש אחת תחטא בשגגה והקריבה עז בת שנתה לחטאת
(137586, -76, 4);[400, 300, 80, 5];785;תשפה;36252;(2, 38, 27, 9, 36252);ואת;3;(2, 38, 27, 31, 137586);ויהי מאת ככר הכסף לצקת את אדני הקדש ואת אדני הפרכת מאת אדנים למאת הככר ככר לאדן
(227144, -76, 4);[400, 300, 80, 5];785;תשפה;59914;(4, 22, 33, 16, 59914);ואותה;4;(4, 22, 33, 60, 227144);ותראני האתון ותט לפני זה שלש רגלים אולי נטתה מפני כי עתה גם אתכה הרגתי ואותה החייתי
(119380, -75, 4);[400, 300, 80, 5];785;תשפה;31491;(2, 28, 23, 7, 31491);ונתת;3;(2, 28, 23, 25, 119380);ועשית על החשן שתי טבעות זהב ונתת את שתי הטבעות על שני קצות החשן
(253170, -74, 4);[400, 300, 80, 5];785;תשפה;66511;(5, 2, 12, 18, 66511);נתן;2;(5, 2, 12, 82, 253170);ובשעיר ישבו החרים לפנים ובני עשו יירשום וישמידום מפניהם וישבו תחתם כאשר עשה ישראל לארץ ירשתו אשר נתן יהוה להם
(43693, -73, 4);[400, 300, 80, 5];785;תשפה;11641;(1, 31, 2, 3, 11641);את;2;(1, 31, 2, 10, 43693);וירא יעקב את פני לבן והנה איננו עמו כתמול שלשום
(232303, -73, 4);[400, 300, 80, 5];785;תשפה;61247;(4, 26, 29, 8, 61247);את;2;(4, 26, 29, 35, 232303);בני מנשה למכיר משפחת המכירי ומכיר הוליד את גלעד לגלעד משפחת הגלעדי
(18448, -72, 4);[400, 300, 80, 5];785;תשפה;4947;(1, 16, 3, 16, 4947);ותתן;3;(1, 16, 3, 59, 18448);ותקח שרי אשת אברם את הגר המצרית שפחתה מקץ עשר שנים לשבת אברם בארץ כנען ותתן אתה לאברם אישה לו לאשה
(122139, -72, 4);[400, 300, 80, 5];785;תשפה;32218;(2, 29, 28, 14, 32218);מאת;3;(2, 29, 28, 56, 122139);והיה לאהרן ולבניו לחק עולם מאת בני ישראל כי תרומה הוא ותרומה יהיה מאת בני ישראל מזבחי שלמיהם תרומתם ליהוה
(79219, -70, 4);[400, 300, 80, 5];785;תשפה;20907;(2, 2, 5, 8, 20907);הלכת;4;(2, 2, 5, 31, 79219);ותרד בת פרעה לרחץ על היאר ונערתיה הלכת על יד היאר ותרא את התבה בתוך הסוף ותשלח את אמתה ותקחה
(277675, -69, 4);[400, 300, 80, 5];785;תשפה;72827;(5, 16, 20, 5, 72827);תחיה;1;(5, 16, 20, 15, 277675);צדק צדק תרדף למען תחיה וירשת את הארץ אשר יהוה אלהיך נתן לך
(66127, -67, 4);[400, 300, 80, 5];785;תשפה;17528;(1, 43, 18, 23, 17528);ואת;3;(1, 43, 18, 110, 66127);וייראו האנשים כי הובאו בית יוסף ויאמרו על דבר הכסף השב באמתחתינו בתחלה אנחנו מובאים להתגלל עלינו ולהתנפל עלינו ולקחת אתנו לעבדים ואת חמרינו
(129822, -67, 4);[400, 300, 80, 5];785;תשפה;34269;(2, 34, 13, 10, 34269);תכרתון;4;(2, 34, 13, 41, 129822);כי את מזבחתם תתצון ואת מצבתם תשברון ואת אשריו תכרתון
(138203, -67, 4);[400, 300, 80, 5];785;תשפה;36411;(2, 39, 7, 4, 36411);כתפת;2;(2, 39, 7, 11, 138203);וישם אתם על כתפת האפד אבני זכרון לבני ישראל כאשר צוה יהוה את משה
(192153, -67, 4);[400, 300, 80, 5];785;תשפה;50671;(4, 3, 41, 7, 50671);תחת;1;(4, 3, 41, 22, 192153);ולקחת את הלוים לי אני יהוה תחת כל בכר בבני ישראל ואת בהמת הלוים תחת כל בכור בבהמת בני ישראל
(282498, -67, 4);[400, 300, 80, 5];785;תשפה;74136;(5, 20, 19, 12, 74136);את;2;(5, 20, 19, 42, 282498);כי תצור אל עיר ימים רבים להלחם עליה לתפשה לא תשחית את עצה לנדח עליו גרזן כי ממנו תאכל ואתו לא תכרת כי האדם עץ השדה לבא מפניך במצור
(192980, -65, 4);[400, 300, 80, 5];785;תשפה;50884;(4, 4, 7, 15, 50884);ואת;3;(4, 4, 7, 59, 192980);ועל שלחן הפנים יפרשו בגד תכלת ונתנו עליו את הקערת ואת הכפת ואת המנקית ואת קשות הנסך ולחם התמיד עליו יהיה
(282492, -64, 4);[400, 300, 80, 5];785;תשפה;74135;(5, 20, 19, 11, 74135);תשחית;1;(5, 20, 19, 36, 282492);כי תצור אל עיר ימים רבים להלחם עליה לתפשה לא תשחית את עצה לנדח עליו גרזן כי ממנו תאכל ואתו לא תכרת כי האדם עץ השדה לבא מפניך במצור
